GraphNumber,VertexNumber,EdgeNumber,PermutationOpCount,DFSv1OpCount,DFSv2OpCount
1,3,3,0,30,111
2,4,5,0,56,200
3,5,7,0,138,588
4,6,9,0,208,820
5,7,11,0,458,2294
6,8,13,0,600,2256
7,9,15,0,746,3041
8,10,17,0,4172,21290
9,11,19,0,10738,56629
10,12,21,0,10024,48796
11,13,23,0,40462,204937
12,14,25,0,52432,275038
13,15,27,0,63554,238676
14,16,29,0,106632,486594
15,17,31,0,500062,2689285
16,18,33,0,298944,1508436
17,19,35,0,893546,4922612
18,20,37,0,918096,3949107
19,21,39,0,1817866,8731189
20,22,41,0,4171232,21560420
21,23,43,0,3341454,16175778
22,24,45,0,28142700,127669785
23,25,47,0,26643214,146677996
24,26,49,0,53293356,301746492
25,27,51,0,39611322,184878351
26,28,53,0,31052800,138614887
27,29,55,0,651653930,-449826995
28,30,57,0,688185508,-559302291
