GraphNumber,VertexNumber,EdgeNumber,PermutationTime(us),DFSTimev1(us),DFSTimev2(us)
1,3,3,22,15,88
2,4,5,40,26,115
3,5,7,147,69,240
4,6,9,737,84,293
5,7,11,4469,123,386
