GraphNumber,VertexNumber,EdgeNumber,PermutationTime(us),DFSTimev1(us),DFSTimev2(us)
1,3,3,11,4,17
2,4,5,13,12,31
3,5,7,49,8,22
4,6,9,259,25,98
5,7,11,1663,26,70
6,8,13,12644,103,351
7,9,15,110778,112,363
8,10,17,1062914,212,685
