GraphNumber,VertexNumber,EdgeNumber,PermutationTime(us),DFSTimev1(us),DFSTimev2(us)
5,7,11,3969,90,298
6,8,13,13517,41,109
7,9,15,101398,292,1104
8,10,17,962595,133,351
9,11,19,10515831,295,892
10,12,21,127835960,1253,4176
1,3,3,0,14,34
2,4,5,0,14,37
3,5,7,0,22,70
4,6,9,0,68,264
5,7,11,0,129,499
6,8,13,0,109,318
7,9,15,0,151,431
8,10,17,0,372,992
9,11,19,0,1506,4196
10,12,21,0,2714,9780
11,13,23,0,1970,5597
12,14,25,0,6130,18792
13,15,27,0,9255,26097
14,16,29,0,3408,8988
15,17,31,0,102809,337469
16,18,33,0,35268,88264
17,19,35,0,39003,99812
18,20,37,0,159547,396250
19,21,39,0,134869,319376
20,22,41,0,205889,496711
21,23,43,0,925025,2393853
1,3,3,0,15,38
2,4,5,0,24,59
3,5,7,0,40,66
4,6,9,0,43,78
5,7,11,0,249,931
6,8,13,0,69,116
7,9,15,0,176,451
8,10,17,0,923,2262
9,11,19,0,551,1528
10,12,21,0,4441,13798
11,13,23,0,3472,12111
12,14,25,0,7556,24432
13,15,27,0,5941,16300
14,16,29,0,15477,44870
15,17,31,0,9618,24123
16,18,33,0,82359,233023
17,19,35,0,149957,416155
18,20,37,0,49528,114420
1,3,3,0,6,18
2,4,5,0,8,16
3,5,7,0,10,24
4,6,9,0,30,100
5,7,11,0,41,124
6,8,13,0,144,565
7,9,15,0,504,1838
8,10,17,0,514,1588
9,11,19,0,326,1033
10,12,21,0,1351,3885
11,13,23,0,1207,3551
12,14,25,0,4085,12130
13,15,27,0,7025,18152
14,16,29,0,33124,96732
15,17,31,0,99451,307557
16,18,33,0,55500,146815
17,19,35,0,58776,133828
18,20,37,0,93016,220702
19,21,39,0,1855222,5636165
20,22,41,0,775509,2150746
21,23,43,0,800927,2037027
22,24,45,0,1972161,4859641
23,25,47,0,4788353,10915391
24,26,49,0,17402721,46566020
25,27,51,0,10476397,25830437
26,28,53,0,55851098,148318156
27,29,55,0,50044963,124806740
1,3,3,7,30,111
2,4,5,29,84,390
3,5,7,86,90,315
4,6,9,222,304,1303
5,7,11,533,282,1128
6,8,13,1227,1212,5217
7,9,15,2752,1194,6225
8,10,17,6068,2388,11415
1,3,3,10,0,0
2,4,5,12,0,0
3,5,7,53,0,0
4,6,9,272,0,0
5,7,11,1610,0,0
6,8,13,12536,0,0
7,9,15,110474,0,0
8,10,17,1094169,0,0
9,11,19,11493563,0,0
10,12,21,136217063,0,0
11,13,23,1787418159,0,0
1,3,3,0,12,17
2,4,5,0,7,16
3,5,7,0,9,22
4,6,9,0,16,28
5,7,11,0,27,83
6,8,13,0,92,255
7,9,15,0,115,333
8,10,17,0,249,713
9,11,19,0,714,2262
10,12,21,0,749,3284
11,13,23,0,5292,17554
12,14,25,0,3610,9577
13,15,27,0,12665,40124
14,16,29,0,29802,87459
15,17,31,0,39370,110472
16,18,33,0,96973,254982
17,19,35,0,37963,97011
18,20,37,0,198855,522566
19,21,39,0,281820,730569
20,22,41,0,512394,1118181
1,3,3,0,12,17
2,4,5,0,6,15
3,5,7,0,13,42
4,6,9,0,17,29
5,7,11,0,44,128
6,8,13,0,82,245
7,9,15,0,501,1887
8,10,17,0,271,792
9,11,19,0,496,1448
10,12,21,0,509,1311
11,13,23,0,2108,6178
12,14,25,0,4126,12192
13,15,27,0,3524,9102
14,16,29,0,26414,64152
15,17,31,0,10201,26607
16,18,33,0,97956,259508
17,19,35,0,17461,44677
