GraphNumber,VertexNumber,EdgeNumber,PermutationOpCount,DFSv1OpCount,DFSv2OpCount
22,24,45,0,792208,2980810
23,25,47,0,9537038,42721289
24,26,49,0,39350760,187379367
25,27,51,0,135857558,768863288
1,3,3,7,30,111
2,4,5,29,56,200
3,5,7,86,138,588
4,6,9,222,204,834
5,7,11,533,486,2214
6,8,13,1227,956,4367
7,9,15,2752,1362,6942
8,10,17,6068,2448,10944
9,11,19,13223,14982,77685
10,12,21,28569,12144,50718
1,3,3,0,30,111
2,4,5,0,56,200
3,5,7,0,90,315
4,6,9,0,336,1704
5,7,11,0,670,3289
6,8,13,0,584,2375
7,9,15,0,850,3550
8,10,17,0,2236,9130
9,11,19,0,11006,64331
10,12,21,0,25932,161400
11,13,23,0,18646,86236
12,14,25,0,56888,300986
13,15,27,0,84862,414523
14,16,29,0,31936,144337
15,17,31,0,868926,5753280
16,18,33,0,308112,1408542
17,19,35,0,334802,1629425
18,20,37,0,1326572,6240572
19,21,39,0,1068250,5182771
20,22,41,0,1690300,7995160
21,23,43,0,7315294,38123653
1,3,3,0,30,111
2,4,5,0,56,200
3,5,7,0,90,315
4,6,9,0,132,456
5,7,11,0,1034,5885
6,8,13,0,240,816
7,9,15,0,810,3582
8,10,17,0,4908,21882
9,11,19,0,4138,21715
10,12,21,0,36564,210579
11,13,23,0,33046,189421
12,14,25,0,68036,386249
13,15,27,0,53886,262371
14,16,29,0,135552,733080
15,17,31,0,86974,360781
16,18,33,0,701372,3766835
17,19,35,0,1260402,6881190
18,20,37,0,422368,1761244
1,3,3,0,30,111
2,4,5,0,56,200
3,5,7,0,90,315
4,6,9,0,304,1303
5,7,11,0,434,1694
6,8,13,0,1524,8382
7,9,15,0,4538,26867
8,10,17,0,5052,23259
9,11,19,0,3406,15916
10,12,21,0,12128,52439
11,13,23,0,11414,52319
12,14,25,0,37392,183390
13,15,27,0,60510,275214
14,16,29,0,285632,1589030
15,17,31,0,855026,5060348
16,18,33,0,460720,2359108
