GraphNumber,VertexNumber,EdgeNumber,PermutationOpCount,DFSv1OpCount,DFSv2OpCount
1,3,3,0,30,111
2,4,5,0,84,390
3,5,7,0,90,315
4,6,9,0,336,1704
5,7,11,0,282,1128
6,8,13,0,1060,5515
7,9,15,0,706,2758
8,10,17,0,1772,8108
9,11,19,0,11042,55808
10,12,21,0,36960,228543
11,13,23,0,23758,106126
12,14,25,0,25668,131499
13,15,27,0,58578,297402
14,16,29,0,28304,122084
15,17,31,0,710546,3830756
16,18,33,0,1753552,10452718
17,19,35,0,1057486,5235916
18,20,37,0,458248,2339311
19,21,39,0,7233370,41124769
20,22,41,0,4254804,23975658
